#  Alabama Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,49.5
202002,51
202003,63.5
202004,62
202005,68.9
202006,76.9
202007,80.9
202008,80.2
202009,74.3
202010,66.9
202011,58.4
202012,45.9
202101,46.6
202102,46.7
202103,59.6
202104,61.6
202105,69.4
202106,77
202107,79.3
202108,80
202109,73.9
202110,67.3
202111,52.2
202112,56.8
202201,43.9
202202,50.1
202203,57.4
202204,62.6
202205,73.5
202206,80.4
202207,81.7
202208,79.3
202209,73.7
202210,61.2
202211,55.3
202212,49.1
202301,51.4
202302,56.5
202303,58.7
202304,63.3
202305,70.3
202306,76.6
202307,81
202308,82.1
202309,75.7
202310,65.2
202311,54.5
202312,48.8
