#  Alaska Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,-6.4
202002,1.5
202003,12
202004,27.5
202005,43.3
202006,50.5
202007,53.2
202008,52.1
202009,42
202010,28.9
202011,14.5
202012,10.6
202101,10.6
202102,1
202103,9.1
202104,23.9
202105,40.3
202106,50.9
202107,53.9
202108,49.4
202109,39.4
202110,27.9
202111,4.6
202112,6.8
202201,2.6
202202,8.2
202203,16.7
202204,24.9
202205,40.1
202206,52.7
202207,53.3
202208,50.1
202209,42.7
202210,28.8
202211,16.3
202212,7.1
202301,10.9
202302,6
202303,13.6
202304,16.8
202305,39.8
202306,49.9
202307,56.1
202308,53.2
202309,40.8
202310,28
202311,20.4
202312,5.8
