#  Arizona Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,43.7
202002,45.9
202003,51
202004,59.3
202005,70.5
202006,76.8
202007,82.8
202008,84.1
202009,75.6
202010,66.2
202011,53.5
202012,42
202101,42.6
202102,46.5
202103,49.4
202104,61.2
202105,67.9
202106,80.6
202107,81.4
202108,79.5
202109,74.8
202110,59.9
202111,55.8
202112,45.6
202201,43.5
202202,44
202203,51.8
202204,60.5
202205,68.6
202206,78.6
202207,82.2
202208,79
202209,75.9
202210,61.8
202211,46.1
202212,42.8
202301,40.3
202302,41.9
202303,47.2
202304,58.4
202305,66.5
202306,72.4
202307,85.4
202308,80.7
202309,73.6
202310,64.4
202311,52.6
202312,45.4
