#  Arkansas Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,43.9
202002,44.5
202003,56.5
202004,58.8
202005,66.8
202006,76.4
202007,81.3
202008,77.8
202009,71.8
202010,59.4
202011,54
202012,42.6
202101,41.4
202102,34.8
202103,55.2
202104,58.4
202105,66.8
202106,76.9
202107,79.4
202108,80.7
202109,74.3
202110,65.5
202111,49.4
202112,53.4
202201,38.7
202202,42.2
202203,52.1
202204,59.9
202205,71
202206,78.2
202207,84.1
202208,79.4
202209,73.8
202210,61.4
202211,49.8
202212,43.2
202301,46.5
202302,48.8
202303,53
202304,60.3
202305,70
202306,77.3
202307,81
202308,81.7
202309,74.8
202310,64
202311,51.7
202312,46
