#  California Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,45.3
202002,49.2
202003,48
202004,56.6
202005,64.6
202006,70.4
202007,76.6
202008,78.9
202009,74
202010,66.2
202011,50.9
202012,45.5
202101,45.5
202102,47.4
202103,48.2
202104,58.2
202105,64.5
202106,74.9
202107,79.8
202108,77
202109,72.2
202110,58.2
202111,54.8
202112,43.5
202201,46.2
202202,47.4
202203,52.9
202204,55.9
202205,62.4
202206,72
202207,77.6
202208,78.4
202209,73.8
202210,63.7
202211,46.8
202212,43.5
202301,42.6
202302,42.7
202303,44.2
202304,55.3
202305,62
202306,67
202307,79
202308,75.9
202309,68.1
202310,62.2
202311,51.9
202312,48.1
