#  Colorado Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,27.4
202002,26.4
202003,38.8
202004,43.4
202005,55.6
202006,65
202007,69.3
202008,70.1
202009,58.8
202010,47.1
202011,38.5
202012,26.7
202101,26.7
202102,24.8
202103,35.8
202104,43.1
202105,52.9
202106,65.7
202107,70
202108,67.4
202109,62.4
202110,47.8
202111,40.7
202112,32.4
202201,26.7
202202,25.1
202203,35.1
202204,43.9
202205,53.4
202206,64.4
202207,70.4
202208,67.8
202209,62.5
202210,47.7
202211,31.6
202212,25.7
202301,23.6
202302,24.9
202303,30.4
202304,41.2
202305,54.4
202306,59.9
202307,69.4
202308,67.7
202309,60.5
202310,47.8
202311,37
202312,30.3
