#  Connecticut Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,33
202002,33.9
202003,41.4
202004,44.4
202005,56.4
202006,68.4
202007,75.6
202008,72.6
202009,63.5
202010,53.2
202011,45.4
202012,33.6
202101,29.2
202102,28.5
202103,39.3
202104,48.7
202105,57.8
202106,69.2
202107,71.1
202108,72.8
202109,65.2
202110,56.8
202111,41
202112,37
202201,24.2
202202,30.6
202203,39
202204,47.6
202205,60.7
202206,66.3
202207,74.2
202208,74.5
202209,63.6
202210,52.5
202211,45.2
202212,33.5
202301,37.1
202302,33.7
202303,38.8
202304,51
202305,56.9
202306,65.4
202307,74.8
202308,69.5
202309,65.1
202310,56.1
202311,39.6
202312,38.5
