#  Delaware Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,40.2
202002,41.9
202003,49.5
202004,51.8
202005,60.6
202006,73.7
202007,80.7
202008,77.2
202009,68.7
202010,60
202011,51.8
202012,39.7
202101,36.2
202102,35.6
202103,47.6
202104,55.3
202105,63.3
202106,73.8
202107,77.7
202108,76.9
202109,70.1
202110,63.2
202111,45.1
202112,44
202201,31.6
202202,39.1
202203,47.2
202204,53.2
202205,65.1
202206,72.4
202207,79
202208,78.1
202209,69.3
202210,55.8
202211,49.8
202212,37.8
202301,43.1
202302,42.6
202303,45.4
202304,58.4
202305,61.4
202306,70.1
202307,78.3
202308,75.3
202309,69.5
202310,59.6
202311,45.8
202312,43.5
