#  Florida Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,61.8
202002,63.6
202003,71
202004,73.1
202005,75.8
202006,81
202007,83
202008,83.2
202009,80.6
202010,77.2
202011,70.8
202012,57.6
202101,58.7
202102,63.7
202103,67.8
202104,69.9
202105,76.1
202106,80.7
202107,81.9
202108,82.6
202109,79.7
202110,75.3
202111,63.4
202112,66.5
202201,57.6
202202,63.2
202203,68.6
202204,72
202205,77.7
202206,82
202207,83.2
202208,83
202209,80
202210,71.8
202211,69.7
202212,61.5
202301,61.8
202302,67.4
202303,69.1
202304,73.2
202305,76.2
202306,80.6
202307,84.1
202308,84.9
202309,80.5
202310,73.4
202311,66.7
202312,61.3
