#  Georgia Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,51.4
202002,51.9
202003,63.1
202004,63.1
202005,69.4
202006,76.9
202007,81.5
202008,80.4
202009,74.3
202010,68.5
202011,60.4
202012,46.4
202101,47.7
202102,49.5
202103,59.9
202104,62.1
202105,69.4
202106,77
202107,79.3
202108,80
202109,73.8
202110,67.2
202111,52.7
202112,56.6
202201,45.9
202202,52.8
202203,59
202204,63
202205,73.2
202206,80.1
202207,81.2
202208,79.5
202209,74
202210,62.1
202211,57.5
202212,49.1
202301,51.5
202302,58.1
202303,59.4
202304,64.1
202305,69.6
202306,75.8
202307,81.6
202308,81.7
202309,74.6
202310,64.9
202311,55.7
202312,50.2
