#  Hawaii Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,65
202002,63.3
202003,64.3
202004,66
202005,67.4
202006,69.2
202007,69.9
202008,70.5
202009,69.9
202010,69.5
202011,68.2
202012,66.4
202101,64.8
202102,63.3
202103,63.5
202104,63.9
202105,66.7
202106,68.1
202107,69.8
202108,69.2
202109,68.8
202110,68.1
202111,67.3
202112,64.8
202201,64.4
202202,64.6
202203,65.7
202204,66.5
202205,67.2
202206,67.7
202207,69.4
202208,69.5
202209,69.8
202210,69.3
202211,67.2
202212,65.9
202301,64.7
202302,63.6
202303,65.7
202304,65.2
202305,65.7
202306,67.4
202307,69.5
202308,69.8
202309,69.4
202310,69
202311,67.3
202312,65
