#  Idaho Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,27.3
202002,26.2
202003,35.1
202004,41.6
202005,50.6
202006,56.2
202007,64.9
202008,67.1
202009,58.7
202010,45.4
202011,32.7
202012,26.2
202101,26.6
202102,25.4
202103,34.8
202104,42
202105,49.8
202106,65.1
202107,71.8
202108,63.9
202109,57.2
202110,45.2
202111,36.7
202112,26.5
202201,23.9
202202,24.5
202203,36.3
202204,37.2
202205,46.4
202206,57.3
202207,69.4
202208,69.4
202209,60.8
202210,48
202211,26.4
202212,22.8
202301,23.2
202302,23.6
202303,27.5
202304,38.6
202305,54.3
202306,57.2
202307,68.6
202308,65.8
202309,56.6
202310,45.9
202311,34.3
202312,29.6
