#  Illinois Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,31.8
202002,31.9
202003,44.4
202004,49.6
202005,60.6
202006,73.6
202007,77.3
202008,72.8
202009,65.6
202010,52
202011,47.1
202012,33
202101,29.5
202102,20.8
202103,46.2
202104,52.5
202105,61.1
202106,74.1
202107,74.6
202108,75.5
202109,69.6
202110,60.2
202111,40.9
202112,40.2
202201,22.2
202202,28
202203,43.1
202204,49.6
202205,65.3
202206,73.5
202207,75.8
202208,73.6
202209,67
202210,53.3
202211,43
202212,30.3
202301,34.4
202302,36.3
202303,40.9
202304,53.4
202305,64.2
202306,71.5
202307,75.3
202308,73.5
202309,68.3
202310,56.6
202311,42.9
202312,39.6
