#  Indiana Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,34.3
202002,32.8
202003,44.6
202004,48.9
202005,59.7
202006,72.1
202007,76.5
202008,72
202009,65.2
202010,53.1
202011,46.7
202012,33.6
202101,30.5
202102,23.7
202103,45.8
202104,51.9
202105,59.6
202106,72.7
202107,73.7
202108,75
202109,68.4
202110,60.2
202111,40
202112,40.5
202201,24.3
202202,29.8
202203,43.7
202204,49.3
202205,64.9
202206,72.1
202207,75.3
202208,73
202209,66.1
202210,52.8
202211,43.1
202212,31.7
202301,36.4
202302,38.3
202303,40.9
202304,52.7
202305,62
202306,69.2
202307,74.2
202308,71.8
202309,67.1
202310,56.4
202311,43
202312,39.9
