#  Kansas Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,34
202002,34.9
202003,47.9
202004,52.7
202005,61.7
202006,77.7
202007,79.2
202008,76.4
202009,66.3
202010,52.6
202011,48.1
202012,35.9
202101,34
202102,24.1
202103,48.1
202104,52.5
202105,61.9
202106,75.8
202107,77.7
202108,79.1
202109,73.3
202110,59.1
202111,46.7
202112,41.1
202201,29.8
202202,31.8
202203,44
202204,54.1
202205,64.6
202206,75.8
202207,81.1
202208,79.2
202209,72
202210,57.7
202211,41.1
202212,30.6
202301,33.1
202302,35.2
202303,42.1
202304,54.6
202305,65.8
202306,73.4
202307,78.3
202308,78.8
202309,72.4
202310,58
202311,45.2
202312,39.2
