#  Kentucky Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,40.2
202002,39.7
202003,51.4
202004,52.8
202005,62.2
202006,72.6
202007,78.7
202008,74.8
202009,68.3
202010,57.8
202011,49.9
202012,37.3
202101,35.7
202102,32.3
202103,50.4
202104,54.6
202105,62.4
202106,73.4
202107,75.8
202108,76.6
202109,68.9
202110,62.4
202111,43.4
202112,47.6
202201,31.3
202202,38.4
202203,49.1
202204,54.4
202205,67.5
202206,74
202207,78.2
202208,75.3
202209,68.1
202210,55
202211,46.8
202212,37.8
202301,42.4
202302,45.7
202303,47.3
202304,56.8
202305,64.1
202306,70.3
202307,76.8
202308,74.8
202309,69.6
202310,59.3
202311,47.4
202312,42.6
