#  Louisiana Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,53.7
202002,54
202003,67.3
202004,66.6
202005,73
202006,79.7
202007,82.8
202008,82.2
202009,77.6
202010,68.2
202011,61.9
202012,50.9
202101,50.6
202102,47.8
202103,62.2
202104,64.7
202105,72.3
202106,80.4
202107,81.8
202108,82.6
202109,76.9
202110,71.7
202111,56.4
202112,62.4
202201,48.2
202202,51.3
202203,58.9
202204,67.4
202205,77
202206,82.7
202207,83.9
202208,81.8
202209,77.3
202210,66.2
202211,58.2
202212,54.1
202301,56
202302,58.4
202303,63.6
202304,66.1
202305,74.9
202306,82
202307,84.9
202308,87.9
202309,80.7
202310,69.7
202311,58.2
202312,53.2
