#  Maine Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,20.8
202002,20.1
202003,29.6
202004,37.7
202005,51.2
202006,62.5
202007,68.9
202008,65.6
202009,56.8
202010,44.7
202011,37
202012,27.2
202101,21.4
202102,18.5
202103,29.4
202104,43.2
202105,52.4
202106,64.9
202107,63.7
202108,68.2
202109,59
202110,50.2
202111,35.3
202112,24.5
202201,10.8
202202,19.2
202203,29
202204,40.6
202205,54.4
202206,60.1
202207,67.8
202208,67.3
202209,57.2
202210,49.2
202211,37.4
202212,27.6
202301,24.1
202302,18.2
202303,30.2
202304,41.7
202305,51.3
202306,59.9
202307,69.9
202308,63.4
202309,60.9
202310,51.6
202311,31.7
202312,28.9
