#  Maryland Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,39.1
202002,41
202003,49.3
202004,51.6
202005,60.5
202006,72.7
202007,80.1
202008,76.6
202009,67.3
202010,59
202011,50.9
202012,38.3
202101,35.4
202102,34.2
202103,47.2
202104,55
202105,62.2
202106,73.1
202107,77.2
202108,77.1
202109,69.6
202110,62.9
202111,44.4
202112,43.8
202201,30.9
202202,38.4
202203,46.7
202204,53.1
202205,64.6
202206,72.1
202207,77.7
202208,76.7
202209,68.5
202210,54.6
202211,48.8
202212,36.5
202301,42.1
202302,42.8
202303,45.1
202304,58
202305,60.9
202306,69.2
202307,78.1
202308,75
202309,69.3
202310,59.4
202311,45.2
202312,42.5
