#  Massachusetts Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,32
202002,32.4
202003,40.2
202004,43.1
202005,56.2
202006,67.6
202007,74.6
202008,71.7
202009,62.8
202010,52.4
202011,44.7
202012,33.1
202101,28.8
202102,27.6
202103,38.3
202104,47.8
202105,57.6
202106,69.2
202107,69.8
202108,72.7
202109,64.8
202110,56.3
202111,40.8
202112,36
202201,23.5
202202,29.9
202203,38.1
202204,47
202205,59.8
202206,65.6
202207,73.3
202208,73.9
202209,62.4
202210,52.4
202211,44.6
202212,33.1
202301,35.3
202302,32.2
202303,37.6
202304,49.8
202305,56.3
202306,64.5
202307,73.9
202308,68.5
202309,64.6
202310,56
202311,38.7
202312,37.8
