#  Michigan Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,27
202002,23.7
202003,35
202004,40.2
202005,53.2
202006,66
202007,72.5
202008,68.6
202009,58.2
202010,44.4
202011,41.1
202012,28.6
202101,25
202102,17.4
202103,36.8
202104,45.1
202105,54
202106,67.8
202107,68.7
202108,71
202109,61.4
202110,55.2
202111,36.3
202112,30.1
202201,15.4
202202,19.5
202203,31
202204,40.2
202205,57.6
202206,65
202207,69.2
202208,68.2
202209,60.9
202210,48.3
202211,38.6
202212,26.9
202301,28.2
202302,26.5
202303,31.4
202304,44.9
202305,55
202306,64.8
202307,68.5
202308,65.7
202309,62.1
202310,50.6
202311,36.3
202312,35.1
