#  Minnesota Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,14.1
202002,14
202003,30.4
202004,39.4
202005,53.5
202006,67.7
202007,71.3
202008,68.2
202009,56.5
202010,38.9
202011,33.9
202012,21
202101,18.2
202102,6.5
202103,35.6
202104,42.3
202105,55.1
202106,69.9
202107,71.1
202108,69.4
202109,61.6
202110,51.5
202111,32.2
202112,18.2
202201,3.6
202202,6.5
202203,26.1
202204,35.6
202205,55.3
202206,66.2
202207,69.7
202208,67.3
202209,60.3
202210,46.9
202211,30
202212,12.5
202301,15.1
202302,14.1
202303,21.2
202304,38.3
202305,59.3
202306,68.9
202307,67.3
202308,67.9
202309,63.5
202310,47.5
202311,32.4
202312,29.6
