#  Mississippi Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,50.1
202002,51.1
202003,64.1
202004,62.9
202005,70.3
202006,78.1
202007,82.1
202008,80.2
202009,75.3
202010,65.8
202011,58.4
202012,47
202101,46.6
202102,44.2
202103,60
202104,61.8
202105,69.9
202106,78.1
202107,80.4
202108,80.8
202109,74.8
202110,68.3
202111,52.7
202112,58.6
202201,44.2
202202,48.7
202203,57.1
202204,64
202205,75
202206,81.2
202207,82.9
202208,80.2
202209,74.8
202210,62.8
202211,55
202212,50.1
202301,52.4
202302,55.6
202303,59.6
202304,63.9
202305,72.5
202306,79.3
202307,82.9
202308,84.6
202309,77.8
202310,66.8
202311,55.5
202312,50
