#  Missouri Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,34.5
202002,35.4
202003,48.8
202004,53.1
202005,62
202006,75.1
202007,79.2
202008,74.2
202009,67.3
202010,53.6
202011,49.6
202012,36.3
202101,33.6
202102,24.4
202103,49.9
202104,54.2
202105,62.3
202106,74.9
202107,76.7
202108,77.4
202109,71.5
202110,60.5
202111,45.5
202112,44.7
202201,28.4
202202,32.5
202203,46.1
202204,53
202205,65.9
202206,75.3
202207,79.8
202208,76.4
202209,69.5
202210,56
202211,44.3
202212,33.1
202301,37.2
202302,39.9
202303,43.8
202304,56.2
202305,66.1
202306,73.9
202307,77.9
202308,76.5
202309,70.4
202310,58.8
202311,46.2
202312,41.9
