#  Montana Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,23.4
202002,25.6
202003,31.6
202004,38.3
202005,50.6
202006,59.3
202007,65.6
202008,67.4
202009,57
202010,39.3
202011,32.8
202012,28.5
202101,26.7
202102,13.7
202103,36.1
202104,40.5
202105,48.6
202106,65.3
202107,72.5
202108,64.7
202109,58.3
202110,45.6
202111,36.3
202112,19.3
202201,22.9
202202,22.6
202203,33.5
202204,35.2
202205,48.5
202206,58.5
202207,69
202208,69.7
202209,60.6
202210,47.1
202211,22.7
202212,14.6
202301,22.9
202302,23.3
202303,23.3
202304,39.2
202305,56.3
202306,60.4
202307,67.4
202308,66.8
202309,58.5
202310,42.3
202311,34.5
202312,31.3
