#  Nebraska Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,27.2
202002,29.6
202003,41.1
202004,46.1
202005,56.8
202006,73.5
202007,75.3
202008,74
202009,62.7
202010,46.4
202011,42.6
202012,31.3
202101,29.3
202102,16.5
202103,42.6
202104,46.9
202105,57.9
202106,72.8
202107,75
202108,74.3
202109,67.6
202110,53.2
202111,42.6
202112,33.8
202201,25.6
202202,26.9
202203,38.1
202204,46.6
202205,58.7
202206,71.4
202207,76.5
202208,75
202209,67.5
202210,52.2
202211,34.6
202212,22.7
202301,24.8
202302,26.9
202303,33.6
202304,48.2
202305,62
202306,69.8
202307,72.8
202308,73.8
202309,67.2
202310,51.2
202311,40.8
202312,34.1
