#  Nevada Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,35.3
202002,36.3
202003,40.5
202004,48.8
202005,58.8
202006,65
202007,74.2
202008,75.6
202009,66.6
202010,55.3
202011,40.5
202012,32.4
202101,33.7
202102,35.6
202103,39.2
202104,49.3
202105,57.2
202106,72.6
202107,77.8
202108,72.4
202109,65.5
202110,49.6
202111,45.2
202112,32.4
202201,34.2
202202,34.6
202203,43.3
202204,47.3
202205,54.5
202206,66.9
202207,76.3
202208,74.4
202209,67.6
202210,54.3
202211,34.3
202212,31.7
202301,29.2
202302,30.8
202303,33.6
202304,46.6
202305,57.3
202306,61.9
202307,76.3
202308,71
202309,62
202310,52.3
202311,40.6
202312,37
