#  New Hampshire Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,25.2
202002,24.2
202003,34.2
202004,39.6
202005,53.4
202006,64
202007,71.1
202008,66.5
202009,58.5
202010,47
202011,38.5
202012,28
202101,23
202102,20.6
202103,32.4
202104,44
202105,54.5
202106,66.1
202107,65.6
202108,69.2
202109,60.5
202110,52.1
202111,35.9
202112,28.9
202201,14.7
202202,23.5
202203,32
202204,42.6
202205,57.2
202206,61.8
202207,68.7
202208,69.8
202209,58.2
202210,48.7
202211,39.5
202212,28.3
202301,29
202302,24.2
202303,32.3
202304,45
202305,52.9
202306,61.9
202307,70.5
202308,64.5
202309,61.7
202310,52.3
202311,33.7
202312,32.4
