#  New Jersey Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,37.3
202002,39.1
202003,46.3
202004,48.7
202005,59.1
202006,71.5
202007,78.8
202008,75.5
202009,66.8
202010,57
202011,49.2
202012,37
202101,33.7
202102,32
202103,44
202104,52.6
202105,60.8
202106,71.8
202107,75.7
202108,75.9
202109,68.7
202110,61
202111,43.6
202112,41.2
202201,28.6
202202,35.6
202203,43.9
202204,51.1
202205,63.2
202206,69.9
202207,77.9
202208,77.2
202209,67.6
202210,54
202211,47.6
202212,35.5
202301,41.2
202302,39.1
202303,42.3
202304,55.4
202305,59.3
202306,67.8
202307,77.2
202308,73.2
202309,68
202310,58.4
202311,43.3
202312,41.5
