#  New Mexico Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,37.1
202002,38.5
202003,48
202004,54
202005,65.1
202006,72.5
202007,76.6
202008,76.2
202009,65
202010,56.6
202011,47.5
202012,35
202101,35.1
202102,37.3
202103,44.8
202104,53.2
202105,62.7
202106,73.1
202107,73.3
202108,72.2
202109,68.3
202110,55.6
202111,47.6
202112,42
202201,35.6
202202,35
202203,44.4
202204,55.3
202205,64.8
202206,72.6
202207,76.3
202208,71.9
202209,68
202210,53.9
202211,40.1
202212,37.2
202301,35.4
202302,37
202303,43.9
202304,52
202305,62.3
202306,69.6
202307,78.6
202308,75.1
202309,68.8
202310,57.3
202311,45.3
202312,38.5
