#  New York Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,27.7
202002,26.6
202003,37.2
202004,41.1
202005,54.2
202006,65.2
202007,72.9
202008,68.6
202009,59.6
202010,49
202011,41.9
202012,29.8
202101,24
202102,21.7
202103,35
202104,45.7
202105,54.7
202106,67.1
202107,67.7
202108,70.4
202109,61.7
202110,54.8
202111,37
202112,32.8
202201,15.8
202202,23.8
202203,33.8
202204,43.8
202205,58.6
202206,63.8
202207,69.7
202208,70
202209,60.5
202210,48.9
202211,41
202212,29
202301,30.6
202302,28.1
202303,32.6
202304,48
202305,53.9
202306,63.1
202307,70.7
202308,65.8
202309,61.7
202310,53
202311,36.1
202312,35
