#  North Carolina Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,46
202002,47
202003,55.9
202004,57.4
202005,63.6
202006,73.2
202007,79.6
202008,77.5
202009,69.7
202010,63
202011,54.8
202012,42.2
202101,40.8
202102,42.2
202103,53.1
202104,58.6
202105,65.5
202106,73.8
202107,77.1
202108,77.8
202109,70.6
202110,64.4
202111,48.1
202112,50.8
202201,38.7
202202,46
202203,53.4
202204,58.8
202205,68.8
202206,75.1
202207,79.1
202208,76.5
202209,70.3
202210,57.4
202211,53.2
202212,41.8
202301,46.7
202302,51.2
202303,52.2
202304,60.3
202305,64.2
202306,70.8
202307,78.6
202308,77.3
202309,70.8
202310,60.9
202311,50.2
202312,46
