#  North Dakota Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,12.9
202002,17.8
202003,29.8
202004,37.6
202005,52.5
202006,66.9
202007,70.3
202008,69.2
202009,57.1
202010,37.8
202011,31.8
202012,23.4
202101,21
202102,5.8
202103,35.9
202104,40.7
202105,52.8
202106,69.3
202107,73.8
202108,68.9
202109,62.2
202110,48.6
202111,32.6
202112,14
202201,8.7
202202,9.4
202203,26.9
202204,33.6
202205,52.9
202206,64.6
202207,70.7
202208,69.5
202209,61
202210,46
202211,23.1
202212,6.7
202301,13.1
202302,14.5
202303,14
202304,34.7
202305,60
202306,69.2
202307,67.2
202308,67.9
202309,61.9
202310,43.7
202311,31.1
202312,26.7
