#  Ohio Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,34.9
202002,32.8
202003,44.7
202004,47.8
202005,58.4
202006,70.4
202007,76.9
202008,72.2
202009,64.7
202010,53.5
202011,46.4
202012,33.6
202101,30.9
202102,25.2
202103,44.8
202104,51.4
202105,58.8
202106,71.5
202107,73
202108,74.6
202109,66.9
202110,60.3
202111,40.5
202112,40.2
202201,24
202202,30.7
202203,43.2
202204,48.6
202205,63.8
202206,70.6
202207,74
202208,72.2
202209,65.2
202210,52
202211,43.9
202212,32.6
202301,36.7
202302,38.6
202303,40.6
202304,52.2
202305,59.3
202306,66.9
202307,73.5
202308,70.6
202309,65.9
202310,55.8
202311,42.1
202312,40.2
