#  Oklahoma Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,42.2
202002,41.8
202003,55.5
202004,57.9
202005,67.2
202006,78.8
202007,82.6
202008,79.4
202009,70.3
202010,58.3
202011,53.5
202012,41
202101,39.7
202102,31.3
202103,53.9
202104,57.4
202105,65.9
202106,77.4
202107,80
202108,81.3
202109,76.7
202110,64.4
202111,51.2
202112,50.4
202201,37
202202,38.5
202203,50.4
202204,61
202205,70.6
202206,79.4
202207,86.6
202208,82.5
202209,75.9
202210,62
202211,47.3
202212,40.1
202301,42.4
202302,44
202303,50.4
202304,58.7
202305,69.1
202306,76.7
202307,81.9
202308,83.7
202309,76.7
202310,62.5
202311,51
202312,44.9
