#  Oregon Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,34.9
202002,35.8
202003,38.8
202004,46.3
202005,52.6
202006,57.9
202007,66
202008,67.2
202009,62.6
202010,51.3
202011,38.3
202012,34.2
202101,34.8
202102,33.6
202103,39
202104,46.6
202105,52
202106,65.2
202107,71.4
202108,66.4
202109,59.4
202110,47.6
202111,41.9
202112,32.4
202201,34.9
202202,35.6
202203,41.9
202204,40.6
202205,48.1
202206,58.3
202207,69.3
202208,70.4
202209,62.5
202210,53.8
202211,33.7
202212,30.6
202301,32
202302,32.3
202303,33.2
202304,42.8
202305,55.3
202306,59.2
202307,68.9
202308,67.7
202309,57.7
202310,50
202311,39.9
202312,37.3
