#  Pennsylvania Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,32.2
202002,33.3
202003,42.5
202004,45.1
202005,56
202006,67.2
202007,74.9
202008,71.6
202009,62.1
202010,52.2
202011,44.8
202012,32.1
202101,29.4
202102,26.6
202103,40.7
202104,49.3
202105,57
202106,68.6
202107,71.2
202108,72.6
202109,64.3
202110,57.7
202111,39
202112,37.6
202201,22.5
202202,29.7
202203,39.4
202204,47
202205,60.5
202206,67.1
202207,72.3
202208,71.4
202209,63
202210,49.4
202211,42.8
202212,30.6
202301,35.8
202302,35.8
202303,37.8
202304,51.7
202305,56.2
202306,64.4
202307,72.3
202308,68.8
202309,63.6
202310,54.2
202311,39.6
202312,37.9
