#  Rhode Island Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,35.3
202002,35.4
202003,42.6
202004,44.1
202005,56.6
202006,68.1
202007,75.4
202008,73.8
202009,64.5
202010,54.6
202011,47.5
202012,35.7
202101,31.3
202102,30.9
202103,40.2
202104,48.8
202105,58
202106,69.6
202107,71.2
202108,73.6
202109,66.4
202110,58.4
202111,42.9
202112,38.6
202201,27
202202,32.4
202203,40.6
202204,48.4
202205,60.4
202206,66.3
202207,74.4
202208,75
202209,63.6
202210,54.4
202211,46.8
202212,35.5
202301,37.8
202302,34.3
202303,39.7
202304,50.7
202305,56.2
202306,64.5
202307,74.3
202308,69.6
202309,65.8
202310,56.8
202311,41
202312,39.7
