#  South Carolina Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,50.3
202002,50.9
202003,60.4
202004,62.1
202005,68
202006,76.1
202007,81.9
202008,80.1
202009,73.3
202010,67.4
202011,59.3
202012,45.6
202101,46
202102,47.2
202103,57.6
202104,62
202105,69.1
202106,76.8
202107,79.4
202108,80.1
202109,73.5
202110,66.8
202111,51.6
202112,54.6
202201,43.6
202202,51.8
202203,57.7
202204,62.3
202205,72.8
202206,78.9
202207,81.3
202208,79
202209,73.8
202210,60.9
202211,57
202212,46.1
202301,50.4
202302,56.2
202303,57.1
202304,63.4
202305,67.4
202306,74.2
202307,81.4
202308,80.8
202309,73.4
202310,63.7
202311,54.2
202312,49.3
