#  South Dakota Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,20.1
202002,23.5
202003,36.4
202004,42
202005,54.2
202006,70.3
202007,73.5
202008,72.6
202009,60.4
202010,41.2
202011,38.6
202012,28.3
202101,26.5
202102,12.8
202103,39.4
202104,43.6
202105,55
202106,72.3
202107,75.3
202108,72.5
202109,65
202110,51.2
202111,38.2
202112,24.5
202201,19.1
202202,20
202203,33.4
202204,39.7
202205,55.4
202206,67.6
202207,74.6
202208,73.2
202209,65.4
202210,49.4
202211,29.2
202212,15.1
202301,19.9
202302,22
202303,23.9
202304,41.3
202305,61.2
202306,69.7
202307,70.8
202308,71.6
202309,64.8
202310,47.3
202311,37
202312,31.2
