#  Tennessee Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,43
202002,43.4
202003,54.7
202004,55.4
202005,64
202006,73.5
202007,79.2
202008,76.4
202009,69.9
202010,60.4
202011,51.9
202012,39.5
202101,39.7
202102,37.4
202103,53.6
202104,56.2
202105,64.1
202106,74
202107,77
202108,77.2
202109,69.7
202110,63.4
202111,45.6
202112,50.4
202201,35.5
202202,41.8
202203,51.6
202204,56.7
202205,69
202206,75.8
202207,80.2
202208,76.4
202209,69.4
202210,56.3
202211,49
202212,40.8
202301,44.9
202302,48.6
202303,50.5
202304,57.8
202305,66.1
202306,72
202307,77.3
202308,76.2
202309,70.9
202310,60.9
202311,50
202312,44.2
