#  Texas Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,50.7
202002,49.4
202003,63.2
202004,65.1
202005,74.6
202006,80.7
202007,85.2
202008,84.4
202009,74.1
202010,65.9
202011,60.6
202012,48.5
202101,47.3
202102,44
202103,59.4
202104,63.7
202105,71.9
202106,80.3
202107,80.9
202108,81.9
202109,78.2
202110,69.8
202111,57.3
202112,59.1
202201,45.8
202202,45.8
202203,57
202204,68.8
202205,78
202206,83.8
202207,87.2
202208,83.4
202209,77.8
202210,66.4
202211,54
202212,50
202301,51.6
202302,52.1
202303,60.4
202304,64.7
202305,73.8
202306,82.3
202307,86.3
202308,87.5
202309,81.8
202310,68.4
202311,56.5
202312,51.8
