#  Utah Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,28.7
202002,31.1
202003,40.8
202004,47.4
202005,59
202006,65.4
202007,73.7
202008,75.8
202009,63.9
202010,52.8
202011,38.8
202012,27.2
202101,28.1
202102,32.2
202103,38.4
202104,47.4
202105,57.1
202106,71.9
202107,76.2
202108,70.9
202109,64.4
202110,47.9
202111,42.5
202112,31.1
202201,29.6
202202,29.6
202203,40.2
202204,46.4
202205,55
202206,67.6
202207,75.5
202208,72.4
202209,66.6
202210,50.8
202211,32.5
202212,28.2
202301,26.1
202302,26.5
202303,32.3
202304,44.4
202305,57.8
202306,62.8
202307,75.8
202308,70.9
202309,62.5
202310,51
202311,38.9
202312,32.6
