#  Vermont Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,23.4
202002,22.4
202003,33
202004,38.8
202005,52.6
202006,62.8
202007,70.9
202008,65.2
202009,57.2
202010,46.4
202011,37.9
202012,27.3
202101,20.5
202102,18.8
202103,30.9
202104,43.2
202105,53.3
202106,65.4
202107,64.9
202108,68.8
202109,59.5
202110,51.6
202111,34.3
202112,28.2
202201,11.8
202202,21
202203,30.7
202204,41.3
202205,56.9
202206,61.4
202207,67.4
202208,68.4
202209,57.8
202210,48
202211,38.6
202212,27.2
202301,27.3
202302,22.9
202303,30.2
202304,45.1
202305,51.7
202306,61.7
202307,69.7
202308,64
202309,61
202310,51.7
202311,32.9
202312,31.2
