#  Virginia Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,40.6
202002,42.4
202003,51.7
202004,53.3
202005,60.5
202006,71.3
202007,78.7
202008,75.5
202009,66.4
202010,59
202011,51.3
202012,38.4
202101,36.6
202102,36.6
202103,48.5
202104,55.3
202105,62.3
202106,72
202107,75.9
202108,76.4
202109,68.4
202110,62.3
202111,44.5
202112,45.8
202201,32.8
202202,40.7
202203,48.9
202204,55.2
202205,65
202206,72.2
202207,76.9
202208,74.7
202209,67.9
202210,53.9
202211,49
202212,37.3
202301,42.7
202302,46.2
202303,47.4
202304,57.7
202305,61.4
202306,67.9
202307,76.7
202308,74.3
202309,68.4
202310,58.7
202311,45.9
202312,42.4
