#  Washington Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,34.2
202002,35.6
202003,38.3
202004,46
202005,53.3
202006,57.9
202007,64.8
202008,65.7
202009,61.2
202010,48.4
202011,37.6
202012,33.7
202101,34.6
202102,31.4
202103,39.7
202104,46.8
202105,52.6
202106,64.6
202107,69.7
202108,65.8
202109,58
202110,46.6
202111,39.9
202112,29.4
202201,31.2
202202,33.6
202203,41.5
202204,40.9
202205,48.5
202206,58
202207,67.9
202208,69.8
202209,61.7
202210,53.6
202211,32.1
202212,26.3
202301,33.2
202302,32.4
202303,36.6
202304,43.2
202305,58.2
202306,60.7
202307,67.5
202308,67.6
202309,58.3
202310,49.1
202311,37.4
202312,36.2
