#  West Virginia Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,37.3
202002,38
202003,47.8
202004,48.9
202005,57.8
202006,68.1
202007,75.6
202008,72.5
202009,64.2
202010,55.4
202011,47.5
202012,34.3
202101,32.6
202102,31.6
202103,45.8
202104,51.3
202105,58.7
202106,69.2
202107,72.2
202108,73.9
202109,65.5
202110,59.4
202111,40.9
202112,42.6
202201,27.3
202202,35.3
202203,44.6
202204,50.8
202205,63
202206,68.7
202207,73
202208,71.7
202209,64.2
202210,50.3
202211,44.9
202212,34.4
202301,38.9
202302,41.6
202303,43
202304,53.9
202305,58.4
202306,64.8
202307,73
202308,70.6
202309,65.5
202310,55.6
202311,42.5
202312,39.7
