#  Wisconsin Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,21.5
202002,19.2
202003,34.3
202004,40.7
202005,54.1
202006,66.5
202007,71.9
202008,68.3
202009,57.3
202010,41.3
202011,38.6
202012,24.2
202101,20.3
202102,10.7
202103,36.9
202104,45
202105,54.9
202106,69.4
202107,69.4
202108,69.2
202109,61.2
202110,53.5
202111,33.9
202112,24.8
202201,9.2
202202,14.9
202203,29.5
202204,39
202205,57.2
202206,65.5
202207,69.4
202208,67.5
202209,60.4
202210,47.2
202211,35.3
202212,19.2
202301,23
202302,21.7
202303,28.7
202304,43.4
202305,56.8
202306,66.6
202307,68.5
202308,67.7
202309,63.2
202310,49.4
202311,34.5
202312,32.2
