#  Wyoming Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202001,23.9
202002,20.2
202003,33.1
202004,37.6
202005,50.3
202006,59.7
202007,66.6
202008,67.7
202009,55.5
202010,41.2
202011,33.1
202012,24.5
202101,23.4
202102,17.4
202103,32.2
202104,38
202105,48.8
202106,64.9
202107,70.1
202108,64.1
202109,58.1
202110,43.9
202111,36.6
202112,26.2
202201,23.1
202202,20.9
202203,32
202204,36.2
202205,46.9
202206,59
202207,69
202208,67.3
202209,59.7
202210,44.7
202211,25.1
202212,19.6
202301,19.3
202302,19.7
202303,23.5
202304,36.1
202305,52.9
202306,57.2
202307,66.2
202308,64.8
202309,57.4
202310,43.1
202311,33.3
202312,27.7
